OID,ID_source,X_source,Y_source,ID_end,X_end,Y_end
320,2,216084.5743,9280696.494,160,220676.5068,9364823.054
321,2,216084.5743,9280696.494,161,220965.2118,9365053.462
322,3,220377.8235,9280982.039,1,215379.8541,9280685.623
323,3,220377.8235,9280982.039,2,216084.5743,9280696.494
324,3,220377.8235,9280982.039,3,220377.8235,9280982.039
325,3,220377.8235,9280982.039,4,221083.1951,9280499.051
326,3,220377.8235,9280982.039,5,214368.1239,9281603.483
327,3,220377.8235,9280982.039,6,215109.0149,9281711.749
328,3,220377.8235,9280982.039,7,216024.5784,9281640.556
329,3,220377.8235,9280982.039,8,220356.0093,9281300.749
330,3,220377.8235,9280982.039,9,220681.8789,9281759.772
331,3,220377.8235,9280982.039,10,214333.0551,9283540.984
332,3,220377.8235,9280982.039,11,214718.478,9283341.916
333,3,220377.8235,9280982.039,12,216161.871,9283310.444
334,3,220377.8235,9280982.039,13,220768.0356,9283171.672
335,3,220377.8235,9280982.039,14,214236.6937,9284873.12
336,3,220377.8235,9280982.039,15,215062.0103,9284821.394
337,3,220377.8235,9280982.039,16,216175.7091,9285024.221
338,3,220377.8235,9280982.039,17,220341.6909,9285042.565
339,3,220377.8235,9280982.039,18,220559.5837,9284707.915
340,3,220377.8235,9280982.039,19,214242.5176,9285951.152
341,3,220377.8235,9280982.039,20,215126.4992,9286204.305
342,3,220377.8235,9280982.039,21,216088.4348,9285959.628
343,3,220377.8235,9280982.039,22,220128.1659,9286341.379
344,3,220377.8235,9280982.039,23,220529.315,9286136.707
345,3,220377.8235,9280982.039,24,215155.9601,9287033.29
346,3,220377.8235,9280982.039,25,219858.9284,9287629.6
347,3,220377.8235,9280982.039,26,220491.7896,9287209.561
348,3,220377.8235,9280982.039,27,218843.8845,9289921.288
349,3,220377.8235,9280982.039,28,219337.7198,9289278.179
350,3,220377.8235,9280982.039,29,218583.9396,9290816.8
351,3,220377.8235,9280982.039,30,218983.6024,9290473.163
352,3,220377.8235,9280982.039,31,218343.2794,9292229.389
353,3,220377.8235,9280982.039,32,219692.8646,9292231.265
354,3,220377.8235,9280982.039,33,218091.327,9293752.133
355,3,220377.8235,9280982.039,34,219556.632,9293953.206
356,3,220377.8235,9280982.039,35,220421.0432,9293014.469
357,3,220377.8235,9280982.039,36,217373.7955,9295944.515
358,3,220377.8235,9280982.039,37,218029.518,9295277.016
359,3,220377.8235,9280982.039,38,219511.5281,9295343.207
360,3,220377.8235,9280982.039,39,220396.8086,9295762.959
361,3,220377.8235,9280982.039,40,217340.2304,9296899.839
362,3,220377.8235,9280982.039,41,218056.4679,9296812.255
363,3,220377.8235,9280982.039,42,219519.6006,9297020.647
364,3,220377.8235,9280982.039,43,220408.7169,9296141.167
365,3,220377.8235,9280982.039,44,217270.2853,9298407.179
366,3,220377.8235,9280982.039,45,218184.4747,9298346.528
367,3,220377.8235,9280982.039,46,219504.7993,9298278.469
368,3,220377.8235,9280982.039,47,217175.7305,9299754.996
369,3,220377.8235,9280982.039,48,218118.7604,9299520.137
370,3,220377.8235,9280982.039,49,219637.1984,9299726.934
371,3,220377.8235,9280982.039,50,220419.714,9300413.145
372,3,220377.8235,9280982.039,51,217162.6284,9301422.638
373,3,220377.8235,9280982.039,52,218197.036,9301316.688
374,3,220377.8235,9280982.039,53,219664.3887,9301176.277
375,3,220377.8235,9280982.039,54,220516.7801,9301220.298
376,3,220377.8235,9280982.039,55,216939.8612,9302814.292
377,3,220377.8235,9280982.039,56,218061.6219,9302699.155
378,3,220377.8235,9280982.039,57,219742.7915,9302548.919
379,3,220377.8235,9280982.039,58,220514.1514,9302540.41
380,3,220377.8235,9280982.039,59,216902.3065,9304234.998
381,3,220377.8235,9280982.039,60,218113.5263,9304317.713
382,3,220377.8235,9280982.039,61,219635.6639,9304264.923
383,3,220377.8235,9280982.039,62,220655.7449,9304438.424
384,3,220377.8235,9280982.039,63,215661.3617,9306200.505
385,3,220377.8235,9280982.039,64,216713.4651,9305793.955
386,3,220377.8235,9280982.039,65,218099.6192,9305530.166
387,3,220377.8235,9280982.039,66,219563.8169,9305358.731
388,3,220377.8235,9280982.039,67,220601.9682,9305256.254
389,3,220377.8235,9280982.039,68,215433.1993,9307233.695
390,3,220377.8235,9280982.039,69,216480.2273,9307203.214
391,3,220377.8235,9280982.039,70,215297.0766,9308832.45
392,3,220377.8235,9280982.039,71,216566.8341,9308784.236
393,3,220377.8235,9280982.039,72,217402.3672,9309197.326
394,3,220377.8235,9280982.039,73,214106.0865,9310659.621
395,3,220377.8235,9280982.039,74,215133.008,9310244.576
396,3,220377.8235,9280982.039,75,216262.0685,9310105.391
397,3,220377.8235,9280982.039,76,217416.2802,9309497.915
398,3,220377.8235,9280982.039,77,211244.8515,9312408.637
399,3,220377.8235,9280982.039,78,212292.679,9312084.35
400,3,220377.8235,9280982.039,79,213508.3264,9311480.489
401,3,220377.8235,9280982.039,80,215139.2181,9311375.212
402,3,220377.8235,9280982.039,81,216638.4208,9311390.242
403,3,220377.8235,9280982.039,82,217423.7559,9311992.719
404,3,220377.8235,9280982.039,83,211079.6171,9313240.822
405,3,220377.8235,9280982.039,84,211929.9916,9313112.723
406,3,220377.8235,9280982.039,85,213536.9892,9312765.346
407,3,220377.8235,9280982.039,86,214667.1934,9313183.281
408,3,220377.8235,9280982.039,87,210844.4154,9314757.328
409,3,220377.8235,9280982.039,88,211546.2429,9314603.112
410,3,220377.8235,9280982.039,89,210709.9657,9316316.166
411,3,220377.8235,9280982.039,90,211447.72,9316404.472
412,3,220377.8235,9280982.039,91,210732.3243,9317709.482
413,3,220377.8235,9280982.039,92,211616.5896,9317879.936
414,3,220377.8235,9280982.039,93,210844.2539,9319215.868
415,3,220377.8235,9280982.039,94,211954.5057,9319348.685
416,3,220377.8235,9280982.039,95,211028.305,9320653.372
417,3,220377.8235,9280982.039,96,211924.2638,9320704.608
418,3,220377.8235,9280982.039,97,211236.2975,9321940.052
419,3,220377.8235,9280982.039,98,211903.2427,9322311.986
420,3,220377.8235,9280982.039,99,212989.4479,9322805.754
421,3,220377.8235,9280982.039,100,212217.2889,9323724.712
422,3,220377.8235,9280982.039,101,213619.7601,9323859.218
423,3,220377.8235,9280982.039,102,214916.8822,9324213.013
424,3,220377.8235,9280982.039,103,216478.0363,9324100.697
425,3,220377.8235,9280982.039,104,212580.3473,9325052.909
426,3,220377.8235,9280982.039,105,213479.6808,9325425.55
427,3,220377.8235,9280982.039,106,215210.3882,9325319.869
428,3,220377.8235,9280982.039,107,216275.3863,9325343.034
429,3,220377.8235,9280982.039,108,212840.5247,9326071.444
430,3,220377.8235,9280982.039,109,213697.556,9326418.019
431,3,220377.8235,9280982.039,110,215163.1994,9326519.001
432,3,220377.8235,9280982.039,111,216321.108,9326680.555
433,3,220377.8235,9280982.039,112,216491.3947,9328222.873
434,3,220377.8235,9280982.039,113,218278.483,9328720.51
435,3,220377.8235,9280982.039,114,216417.0588,9329913.647
436,3,220377.8235,9280982.039,115,218034.6445,9329645.129
437,3,220377.8235,9280982.039,116,216688.391,9331236.678
438,3,220377.8235,9280982.039,117,217683.2193,9330807.337
439,3,220377.8235,9280982.039,118,215800.3107,9333083.425
440,3,220377.8235,9280982.039,119,216539.9791,9332752.272
441,3,220377.8235,9280982.039,120,217407.245,9333055.124
442,3,220377.8235,9280982.039,121,215777.8205,9333679.116
443,3,220377.8235,9280982.039,122,216764.9904,9334155.649
444,3,220377.8235,9280982.039,123,217602.2987,9334517.528
445,3,220377.8235,9280982.039,124,216992.2472,9335504.923
446,3,220377.8235,9280982.039,125,217543.6239,9335431.498
447,3,220377.8235,9280982.039,126,217178.5047,9337419.822
448,3,220377.8235,9280982.039,127,217481.5684,9337121.481
449,3,220377.8235,9280982.039,128,217163.8736,9338539.357
450,3,220377.8235,9280982.039,129,217478.5886,9338455.483
451,3,220377.8235,9280982.039,130,216445.1932,9340410.566
452,3,220377.8235,9280982.039,131,216353.9627,9341628.387
453,3,220377.8235,9280982.039,132,216482.6337,9343300.463
454,3,220377.8235,9280982.039,133,216508.8459,9344803.278
455,3,220377.8235,9280982.039,134,216912.7906,9346054.356
456,3,220377.8235,9280982.039,135,217563.016,9346322.822
457,3,220377.8235,9280982.039,136,217012.1252,9347972.89
458,3,220377.8235,9280982.039,137,217748.8914,9347173.116
459,3,220377.8235,9280982.039,138,216708.3335,9349365.882
460,3,220377.8235,9280982.039,139,217729.0699,9349924.41
461,3,220377.8235,9280982.039,140,216579.8161,9350745.816
462,3,220377.8235,9280982.039,141,217756.0426,9350152.92
